text,class
pedido wwvzu transact existe usuaria visualizar tramitar informações informa obs,2
raiz causa bom apresentando voz fechamento critica dia stc verificar,2
dad case megas porta dex acab div correto index alarmando,1
application name order mktrel_trans transmitenas transmitir pmkt_relatorios s netprd siebelmkt,2
atende automática recarga sistema cancelado evidencia serviço ativo conforme sac,1
facilidade secundário disponível par gera cadastrar entrou efetuar informando evidencia,1
rj receptor ce insadsl débitos regional pe ajustar ordens aa,1
araucaria constante hb municipal prefeitura junto geração j corrigir cto,2
total flags oi retirei desinstalar desassociado inadimplencia suspenso associada tv,1
jxoimpd uqxoi arbor original_ids arnaldo mssisdn original_id no_inst cujo brito,2
revenda ficas casos código reconhecendo input tentativas incompatível possuem exemplo,1
legislainy cristhina termi rvd adsl goncalves nrc rodrigues terminal/contrato vencida,2
agr agrig diego alone selecionar desejada durante so apresenta vendedora,1
estah afetando fibra cco-st ha tmapw h pedido mais siebel,1
inclusão conseguindo campanha gerar mensagem apresenta stc segue informa contato,1
pae printado circuitos gerada devido prezados anexo erro,2
chrystian receita federal felipe marchi rodrigues conforme obrigada divergência correto,2
bd fechamento erro,1
wbbknha mapping engine method transformation execute step invoking error service,2
blanco trisuzzi ursula inadiplencia bloqueio costa liberar bundle retirar grata,2
n/d kvod oct brt total alerta ativa oi vinculado móvel,2
sfa tentando gerando gerar evidências usuário apresenta dados segue informa,1
edesonia n° neves dependente costa provisionamento tel maria r encontra,2
omeio cancelmento desmebrados ação convergentes tal pede dth convergente oi,1
clke entrar liberar parada click favor,1
adeildon pre joao pago registro encontrado cadastrar silva cto mensagem,1
odxnc antunes gpon iptv henrique pedido sinal concluido bloqueado permanece,1
operacao_mon_sim controle_interface_ba traducao eventos interface encerramento falha tmapw mais ba,2
ic atendente alterado ä afetado arbor bmc_application adicionado classe ics,2
acumuladores desconto refletido sao acesso luiz meio social razão cadastrado,2
sim_wllpx_bd_wllprd_siebel_volumetria row sec sitescope robo monitor pedidos envio horas aguardando,1
desativado brt fechar tentando solicitar msisdn base clarify prosseguir migração,1
aplica maia nascimento contestada itens helena fonseca regina data fatura,2
gsm instalação sac fixo verificar terminal erro favor,2
serviço laurielly paraisinho apg paraiso continuarmos gerencia contatar av especial,2
xjsmw endereços oitv corretos total oi tv cancelada onde fixo,2
rgbag conta imediatamente total desistente conectado pós fixo retornou status,2
listagem sistêmico concluído sucesso mudança referente voz endereço aberto click,1
vitor consumidor serviço tente indisponível entrar lima momento jose conseguindo,1
mg nc retadsl limpar receptor pa débitos regional pe ordens,2
refere assumiu finalizada fictício ficando travada velox preso eai entregue,2
bueno leandro fr visualiza recl dnc reset oi ferreira procedimento,2
atendente ic alterado ä afetado ypxew corpemp arbor bmc_application adicionado,1
agragado pesso recargas aceita aceito historico cadastro adesão bonus alega,2
total pós recep ret força oi operação linhas ocorreu c,2
alterado atendente ic ä center call afetado instância arbor geradas,1
belle tecidos franquia valor veio apurado identificamos acesso sistêmico fatura,2
total localizado fixo existente anexos oi divergência acima stc vinculado,1
altpdem insoitot fixo/velox altctec diversos etc insadsl exclusiva preencher total,1
usuário solicita cancelamento contato anexo,1
xlsx iddaordem oss dias atualizar crm t ativação tarefa ars,2
alimentar mno faixas passando deve cn hlr otimizar abastecer hlrs,2
orderid prc_step=utcd utcd site=mg pgm_step=step jobid rc odate job cancelamento,2
declara lista svoi encontrado terminal informa corrigir ativo stc sistema,2
zerada janela vide impossibilitando retirada portabilidade fechamento anexo,2
pendente pré-analise garantir modulo finalização apuração permanecem registro via horas,1
pendência offline parte conjunta ordens soc-ordens tratativa serviço assumindo velox,2
suelem xxx aparecida rg doc tramite providenciar eai zc entregue,1
orderid=yqwk php/ctm_tlmoi_pri_/yqwk nodeid=wllgatprdd psbl_rel_estacoes group=psbl_relatorios application=siebel__wll telemar controlm=ctm_tlmoi_pri gaap sysout,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,1
opçao mb alteraçao aparente solicitaçao enviar velocidade deseja concluir oi,2
syape mudinho apresentou total oi oct tv portabilidade cancelar pendente,1
fatima indevida trata apresentando maria nascimento venda print cancelamento conforme,2
segura kleberjcs jose kleber lembra encaminhado yahoo sms cod bloqueado,1
sgft encerrados exemplos k perca tramitados sinergia cor devida chamado,2
dk ba ambos protocolo integração categoria wfm encerrado tratar fechado,2
ouvidoria brenes tiver joao canal tramitar telas protocolo dias parada,1
irma marangoni ramalho nº baixadas pedido sinal pagas contas liberar,1
serv-motivo exec impossibilidade sac-df xlsx iddaordem atualizou crm pendente aberta,2
acabar vem pedro tarifado solicitado franquia fatura nascimento prezados s,1
mafioleti dalva hibrido simone retinsmud finalizado tramite acl providenciar opção,2
ausente ultimapendencia sac-df horasnatarefa diasnatarefa iniciodatarefa tipodaos oscrm pendente imp,2
localizei bov pedidos espelho chamado migração ativação evidências s segue,1
acesso temporário menezes terezinha tentarmos retirado aa gomes local bloqueio,2
inativaram remoção segundo ars investigativa solicitado bônus serviços recebeu bom,1
detalhamento ramal remal alagoas sai pdf txt pede chave estado,2
vinculando ct indevido consta usuario faturamento sisraf cobrança retirar produto,2
familia possuia inativado upgrade serviço vinculada entretanto clicar final configurar,1
pacote adesão carte habilitação ficou impossibilitando conclusão solicitou sinn evidencias,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,2
expediter carregando carrega executando evidências aberto encontra click soc stc,1
costa marlon validate registration trying while occurred user reason the,1
review vencimentos prorrogar bill planilha bom clientes dia conforme anexo,2
respectivas presos tarefas circuitos sge campo gerando atividade referente abertura,2
impossibilitando evidência fechamento critica soc verificar anexo favor,1
golsalves adriaraujo ilta bitencort felisminas dama invalidos dando gmail email,1
n/d piyfge total conta oi f+pc+bl aplicar light fixo associado,2
resgate errado corretos senha portal oi nascimento solicita data sistema,1
móvel/fixo wtsukc ligações tarifadas ilimitadas operadoras locais min direito conectado,2
perfeita modas top industria uso comercio corretamente prints recebeu cobrado,2
agrih josiel jordao natalia cruz pdv única simulação disponivel contatos,1
e-mail oimail jsneto br ouvidoira deus senha joão link neto,2
impreterivelmente apresentarem cmf_package_component menos proforma início componentes usos ativos ciclo,2
lojista odmxv edlane lib adriana noite ch aguard pdv ribeiro,2
aba receber incentiva hamilton tokem produtos cesta barreto portador cadastrados,2
cc pms linha/internet divergência exemplo sistema/serviço ctxsalpb utiliza interno utilizar,2
prorrogação debitos apos diaria vencimento judicial urgencia bloqueado multa trata,1
sparremberger talia collet elvira pass indicativo by rv clientes prossegue,1
distancia ldi longa internacional sis anexado acesso ligações clarify bloqueio,1
titulargabriel expiracao controle pires ilimitado pre-pago henrique vieira tel franquia,2
fato cancelados números atende obrigada conforme ativos acessos cobrança bom,2
vinculada agrupador sisraf entrou retirar informando contrato contato ativo solicita,2
app smartfone oçãp iriamos auxilia logada afirmou utiliza mes afirma,2
pagam recebem jan corrigido raiz causa controle franquia referente clientes,1
integradas qjan linhas terem cms segmento varejo investigar tipo ciclo,1
eloy helena embratel att indevidas procon ribeiro histórico protocolo gerando,2
diocese teem mitra montenegro eh vezes tecle enter planos agrupador,1
juniorcapcom auxiadora acessar pereira utiliza nascimento siqueira pedro junior nome,1
pbi identificar erros origem casos tlmpackageoriginalid tratamento is necessitam null,1
bloqueio bloquear fraude realizar tenta tentando terminais terminal apresentando existe,2
servico ambos integração categoria processo encerramento wfm tratar fechado voz,2
uuhbe família exportar exposta configura consultor clica invés excluir oi,2
total roberto aplicar retenção força oi oferta b móvel operação,1
eloize item retornando fechar venda mensagem prezados tentar segue verificar,1
fechada atividade aberta click sac,2
observação tramitou eai entregue verificado corrigir oms sac verificar anexo,1
facilidade reservada termo retirada solicita informação bom dia prezados terminal,2
relata obtém subistitudo positiva cobertura resposta expert disponibilidade entretanto evidenciado,1
adulto canal etentar possuivel wpnlja playboy cancelada ativação sibel resumo,1
comoincorreto jordão codigo conferido celi tanta odontologia jordao delgado vera,1
básico hqomgbt deixe removido prosseguirmos fique dth normal total fixo,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,1
agendamento avelino bded filipe mateus cancelados estao consta ro concluído,2
débito automático código site confira digitar pede inválido tente agrupador,2
elier ogi wqzht paola evangelista linh sales clie cont almeida,2
mplff desassociar lopes aparecida luiz preso detalhadamente descrever santos maria,1
pibo imediatamente total desistente conta conectado pós fixo retornou status,2
manutenção-sme rosângela/anderson uriel refere curitiba citado instalação observação santana rua,2
pcb aprovado abr vago físico aa portado consulta telas ativo,2
bd dk evidência cancelado posto aberta soc ba verificar anexo,1
andrielly dispoe fiuza leci welton landim viabilidade jose silvio guedes,1
portabilidade conseqüentemente agradecemos reativada npac devolvida desativada ativada tim apoio,1
mtdo posta alteração habilitada etapa ponta circuito finalizada uf gerado,1
prvnosb instalacao ambos integração categoria wfm tratar fechado informado encerrar,2
merge pesquisas sittel requisição resultado enviar protocolo efetuar ordem,2
instância cdrs no_bill correspondente inibidos listados inserido financeiro usos físico,1
xfqa camile vendedor gracas tentou pdv sim ribeiro chamador total,2
yafdght viabilidade total marcar necessario oi flag consultar sistema endereço,2
consta velox comando projetado historico ca escalação aa possivel nova,1
pkg_xml_invalido caindo srs junho st analisar pacotes arquivo ciclo abaixo,2
atualizar crm parada t tarefa status s,2
executethread active soapx self-tuning pool entariex kernel weblogic urtado nã£,2
cecilia andrade pré grato pago alterar opção deseja apresentando clarify,2
desejada agr magda godoy graziela crm helena aparece nunes pdv,2
combos trasnferencia titularida desativacao desagrupar pluri ii aelbe solicitaçao pediu,1
vorllq contrado desistente legado total novamente registro apagar oi código,2
equipamento pedido omr concluido abrir novo concluir retirada fibra aberto,1
comprovante atraso acn anterior recarga pré-pago teve encontrado serviços recebeu,1
mco ocm w ad instalação critica,1
bertasoli bettarello carla razação excedente avulsos acesso identificado indevida assinatura,2
fsa inscirc b instalação critica,2
cleudete informação sena fast podera sbl insoitot so pendências at,2
total recep ret força oi tv operação ocorreu problema detalhamento,2
desnecessários agilize tecnicos acumulo cancelamentos chegar ars evitar click novos,1
orderid=ik prc_step=htcd htcd site=ba pgm_step=step jobid rc odate job cancelamento,1
preq voz pendenciada ach diversos ambiente convergente geração automática liberada,1
franquia consumida avulsos utilização disponibilizado sistêmica empresa analise controle dados,1
bônus aparecido inicial recarga inserir siac recebeu go atendimento oliveira,2
pl/sql fotografia application name order vah cdibatplfotogrcontas pcdi_rel_fotogr batexecutasqlfotografia domic,2
orderid=mxoc prc_step=rffpsel rffps rc=u site=rj pgm_step=step jobid odate job cancelamento,1
segudamente viabidade mb erika inclui baptista start aguardo bruna bl,2
orderid=ddge rtcd site=rj prc_step=step pgm_step=step jobid rc odate job cancelamento,2
cobrados estando cenário automática recarga inativo ferramenta indevidamente clientes serviço,2
franquai/internet/bonus recebeu averiguação beneficios devidamente entretanto recarga houve analise bom,2
sge encerrado tcs jumpers modem travado tramitou ba ref tramitar,2
netto vicente ctr antonio fora prazo contatos oliveira correção grata,1
ª recl relacionas utimas gilbert via vermelho auxiliamos opções abre,1
cdrs gcob parados solicitamos nov direcionamento internalização amostra explicar deveríamos,2
sistma tando elegibilidade livia freitas francisco cont carlos fixo consulta,1
ms/zc tratativa novo gerar parada fila aberta click soc ba,1
guias uso valor gprs fatura usos sumarizado assinatura triano flexível,2
dificuldade criação clientes portal usuário oi,1
acessar holanda thais tavares informe atualizou urgencia n° tenta informação,1
hs enviada circuito encontra ordem mais,1
nszqpq selecional total plano igual oi identificado constam mais conta,2
multiprodutos ptos informação contratados exibir carregado exibida canais apesar carte,2
tro cancelar josiane bp pcd sac/aa alteracao receptora permitida possamos,1
wurl total oi desassociado reinstalar impossibilita ações tv flag fixo,1
passo cadastro resgate tentamos finalizar possivel conseguindo cadastrado senha informa,1
excepcionais amigos pais natal vinculadas associacao rn tt suspensão período,2
verificalas ged site faturas telefone baixar pedro reclama luiz visualizar,2
ligação anguila destino internacional cobrada item reclama fatura data conta,2
matricula preso cancelar aparece tentar erro,2
tacima paraiba localiza cidade nao dentro estado conseguindo cadastro sistema,1
upgrade instalado ja ocorre permite critica porem velox solicita sistema,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,2
divergencia cenário corrigir detalhe cdi nesse existem problema verificar arquivo,1
provisionado plataforma pms fixa terminal,2
fns sc avev db eletrodomesticos moveis migrou comercio sfa enviada,1
fbbb fbb par primário secundário armário cabo bb utilizado i,1
xqvpth luciete imaculada paim tais fonseca pdv completo total ativar,2
sac_brt_cr_emergen emergencial severidade implantação autorizar atender dois pacote favor,2
citadini campanha ot_mar_fid_tv_bl_mi_ld_int aparece solicitados henrique adicionais paulo loja campos,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,2
diversos-rj vigência ajuste bdo solicitando ocs processamento enviada solicitou atualização,1
adicionar dando produto consegue erro oi cliente,1
sabatino duarte aline_sabatino ig neuza numero cabral aplicativo tanto aline,2
colaborador comunica recebe e-mail vilanova caique contrário menos necessita poderá,1
aquino excluído adriana incentiva carvalho bloqueado ferramenta dia ativo desde,2
pendencia prec liberar permitido conseguindo liberação tratamento informa posto stc,1
n/d rmoyzc oct total oi f+pc+bl brt alerta ativa vinculado,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,1
niziz metais aea smb bhyd nt flat tecnologia remover emissão,1
mszc questão nova eai entregue cancelado gerar parada encontra aberta,1
blt dalia paralelo roberta intermediário isenção relação ip duplicidade velox,1
subnum impedindo s deseja atualizar posto aberto cancelamento contato terminal,1
total mudinho roberto retenção força oi b sc tv móvel,2
cabeceira ricardo paulo indevida cancelamento alves necessário tratar apresentando venda,2
apresentando fechamento crítica soc terminal,1
telefone carrilho eliane xavier sigla vencimento almeida reclamado reclamante fixa,2
linha volte tim aberto telecom abr ativa manual necessário bp,1
micro ril atac dawrj primus comerc incompatíveis bloddc cpa incompativel,2
siatema sac/stc projetado inativo atualizar informa print velox conforme siebel,1
prates instaladas larga+tv alterou fernanda fixo+banda cadastral andre pede pinto,2
indevida partiu resumindo ouve constatamos portabilidade investigado abr claro fraude,1
syatjby bundle características f+pc+bl evidenciado fixo retornou recebeu conclusão liberação,2
encontrada caline ot_mar_fid_tv_bl_tcdvrgratis_ld_top informada cont cristina gomes bom campanha maria,1
faovr prosseguiu joyce dataquality revenda normalmente cpf via vendedor telefone,2
light total selecionado plano igual oi identificado constam fixo conta,2
tab-combos existência investigado fastve serviço obrigatório pbi verificamos prezado proceder,2
gerson mudar fone preciso sisjur baixa pereira reclamado santos parada,2
orderid=vfm php/ctm_tlmoi_pri_/vfm crmshlsp group=prep_daily application=siebelreport nodeid=crm-job controlm=ctm_tlmoi_pri gaap sysout http,2
fvr santander referência liberado brasil banco cr j sac pendência,1
yhwy gil carine barbara con fraga logi andamento y diferente,1
girardi serviço ordem eliane redução borges desde lado fechada agradeço,1
zubler helmuth otto mt insfastve siac horas verificado cto cpf/cgc,1
executadas dg abertas hora encerramento terminais permite voz encerrar posto,2
vlox gera apenas solicitar deseja correção fixo apresenta realizar sistema,1
acompanha ingride imail domingas número validação nome lima nome/login mínimo,1
dne carga integridade level qualidade bpo netprd complexa diretorio disponiveis,1
carlosrgcruz hypolito cleonice imprimir nao número disponivel vencimento nome carlos,2
wnlnuz comendo welliton venda iracema login/tr chaves felix resposta sibel,1
valor incorreto duplicidade incluído cobrada realizou gerada final desconto contestação,2
insfastfu claudia aparecida execucao siac z encerrar santos pr cmr,2
sinal pedido reabri priorizem desbloqueio retirou abrindo criem raíz claudio,2
froes milton pinheiro acl zc mudança terminal/contrato referente vencida endereço,1
correios endereço orientação cep entretanto reconhece cadastrado evidencias caso solicita,2
terminais suspensos inativados fraga gerente katia apurar precisam suspenso regra,2
catony bloddc tenta entrou retirar permite informando contato linha sistema,1
finalizada hlr existe verificar terminal favor,2
fat tarifado considerada procedente aderiu concedido ajuste acesso duplicidade cta,1
nydqiqq f+p+bl gabriela passos carmo pdv m antonio completo nome,1
wchriq flag total oi impedindo tv endereço migração fixo titular,2
alenilce ediclei julia processado caminho operações pdv acessado ro menu,2
constatado comfra vinculadas tarifado rjo realizada análise rj indevidamente linhas,2
pago pos normalizaçao divergências acompanhar aplicativo analisado parcial neto pre-pago,2
nº cancelamento/tratamento atrelar atrelado juliana santana fim sistêmico light abertas,1
antunes eliane fila oms finalizado x tramite lima acl insfastve,1
operadora s daniela tiago recusada autenticar doadora vivo manualmente seguir,1
físico portado obrigada associado sac bom atualizar cadastro dia desde,1
ari espelho encerramento chamado critica ordem abaixo segue verificar favor,1
chefe-secretária inteligente tocantins saude instalação secretaria serviço configurador disponível estado,1
apn naexo faturou bloqueio período falha usuária r corrigir desde,1
geremos devolve ficarem multi anteriormente impede ocorrendo vende informação liberação,2
em_tratamento estah afetando fibra cco-st ha tmapw h pedido mais,2
danubia cartão ribeiro cpf/cnpj oliveira atualizar site oi nascimento número,1
arbor batimento pack_voz x duplicados marco detectados desativar uv inconsistência,1
aprov aguard desde agradeço tn bp caros portabilidade corrigir print,2
jehnom danielle n sistemico reis daniela martins ot jose contatos,1
tiradentes marcondes intrarede pagando edificio marinho condominio bonus recebimento vencimento,1
dificuldade criação clientes portal usuário oi,2
indisponibilidade tecnica fale plabil ilimitado central micro diaria judicial urgencia,1
hvgqdg mo total oi selecionado igual legado light identificado plano,2
concluido origem aberta porem soc ba sistema,2
alteração estourado realização limite dentro tentando usuária apresentando voz comando,1
paradas s gerar posto click soc ba,2
autorização tt contestação ok aguardando baixado possível status arbor baixada,1
dificuldade criação clientes portal usuário oi,2
wainting propensos anatel contas interface oct clientes verificar favor,1
zqxr att completa solução ot liberação aguardando sinn tv crm,2
situação linha tratado aa conforme empresa ativa estar pendencia correção,2
rjo altnome pegasus usar nrc b site critica,2
xx-xxxx-xxxx inclua ¿cliente siebel¿ comentário solicitados backoffice efetuou paga adicionais,1
hífem moretto acrescentar mateus lugar nº numero faltando cadastra azevedo,1
xqea recarga total oi recebeu tv fixo titular exclusiva preencher,2
krieger village telec orlando global daniel bc pereira pendência bp,1
velocidade ocorre permaneceria análise pcs-ppi viabilidade faça efetuar ato upgrade,2
luan tv liberação aguardando sinn crm cancelada pdv descrição contrato,1
continuam abertos planilha dentro ba tabela espelho s base usuária,1
rketqw vereficar mg mudanca total moraes conectado sergio oi pós,1
verificção procede percentual ambiente pa apresentada realizada ação informação go,2
idzzp pagas total oi sinn bloqueio crm faturas fixo titular,1
pendente pré-analise garantir modulo finalização apuração permanecem registro via horas,1
wrnisj tv ot_pai_fid_res_tv_inter_mix_bl muda oi total status campanha permite migração,1
receba card inativou indevidas sim cobranças ativar troca dados pacote,1
gsm apoio diversos encerrar solicito terminal,2
ius borges asg norm joao ribeiro normal carlos rg doc,2
expert sesobj doudement oiatendeseilandi evellyn terezinha bruna jesus loja ribeiro,1
ri existem paradas apresentando voz encerrar posto evidências consegue usuário,2
vhdlm apagada tramitou apagar enviar possivel nova detalhadamente descrever sac,2
desconectada indevidamente portabilidade conseqüentemente linha npac devolvida ativada bilhete desativação,2
pesquisa sittel requisição assinante protocolo aguardando dia ordem desde dados,1
xryzgo xryzft preso geraldo n adriano daniel bundle sistemico att,1
estah afetando fibra cco-st ha tmapw h pedido mais siebel,2
verificra camp ot_mar_fid_tv_bl_mi_ld_int vende aparece oi hotline via tv prosseguir,2
wlddcf efetuou total pagamento oi bônus contas recebeu tv fixo,1
ccto sequencial bhe histórico d vinculado liberar telas solicita conforme,2
protocolos aberto alterado status protocolo usuária fechado evidencias solicita informa,2
michel iniciais confirmar inválidos sousa dn apresentada dados santos corrigir,1
mszc cancelado posto parada click soc status ba verificar favor,1
aberto/fechado schedule encontrar tarefas contendo encerradas click atividades equipe permanecem,1
pida om liberada gerou unid tarefa oms consta sac,2
disponível maura aparecido ch pdv lojista bom tel santos vendedor,1
enriquecer soc ba anexo favor,2
retcpe pbl qy rjo retirada critica,2
telefone norberta benedita venc vencidas oitotal possa sigla visto possui,1
obrigado raiz causa tarde boa apresentando voz fechamento critica stc,1
tania cristina campos insfastve siac go souza encerrado vencida verificado,1
dealmeida gildelia margarida número nome g hotmail detalhada nome/login mínimo,1
cge nao eqn tecle enter m encontrado encerrada programa terminais,2
transnordestina oi_fabrica_acc_sfa_siebel sfa ok logistica encaminhada nok segmentação corporativo ars,2
gibran kardec ayres fiscal guimaraes fevereiro pró-forma nota ligações v,2
aparição opção termos seleção entender selecionado aparecendo disponível solicitado precisamos,2
celular cobrado indevidamente pacote mais linha dados plano oi cliente,1
invés designação dp condição disponivel ficou instalado evidências serviço segue,1
arquivo nilton pdf queixa vencimento disponível nasc visualizar tenta acessar,2
xghfq oi total família inativo ativa meio n fixo conectado,1
incidnete tns negado diego claro fernandes vago autenticar operadora tn,2
micro-serviços programa identificou cg multiprodutos batimento exemplo apenas terminais tratar,1
xpju devedi pre-pago oi familia total pra inativo ativa procedimento,1
meneses separadamente megas mendes pedro jorge cobrado oct reclamado reclamante,1
cortado desbloquea constante bezerra menor moreira mês sinal vencimento paula,1
solicitando usuario gde entrou contato acesso,2
tsowl oct total selecionado mudar plano igual oi identificado constam,1
planej dir ger wifi eng desenv rede redes impossíveis rejeitar,2
ilim vc/oi off ld on vc regina ligações pereira cobrado,2
concluída om encerramento concluir gentileza stc sistema dados segue informa,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,1
pcd cancelamento portabilidade cmd alterado tentativa liberar bp cancelar ser,2
sdr spo despachar encaminhadas travadas posto ser solicita stc s,2
magnus serviço ordem regis aumento desde lado fechada agradeço fechar,1
sisema pano pediu fatima quitado aparecida executar permite alteração santos,2
s concluidos geraram abertos atividades paradas abertas ba encontram sac,2
prive sex pacote lacate cloncluido venda nao pendecia pendencia detalha,2
i-bundle p intermediário total finalização configurar fechar ficou apagar oi,2
alterar conhecimento bva ponta consegui g interface circuito nao segue,1
montane esquadrias bônus concedidos franquia ind lançado conforme ocorra razao,1
encontrasse facilidades sac-gfr metálico par preso tramitou liberar sge encerramento,2
passou pa prazo posto cancelada evidências cancelamento segue contato anexo,1
fruqg imediatamente total desistente conta conectado pós light fixo retornou,2
senhorinha cobrado vca velox reclamante melhor viana horário circuito comercial,1
estah afetando fibra cco-st ha tmapw h pedido mais siebel,1
informado furlan classificados resgate srs fernanda validar anexa soares arquivos,2
derivação hierarquia agendar encontrada entrada tabela evidência soc s verificar,2
external provisionar component instance bauer account service david apresentam st,1
ygaaod patricia pdv eduardo encontrado gomes hora código rj seguinte,1
finaliza pagina volta inicial cadastro consegue realizar cliente,2
categoria mudanca tronco desmigrar tramite linha alterar precisamos base clarify,2
efetivo questão visto alterado solicitado casos bom dias abertura solicito,2
aguard janela desde agradeço ja base tn bp caros portabilidade,1
iaponira ual ridenete fs souza paulino imprimir número fernandes nome,2
granite cadastrados problemas circuito informa cliente,2
hlr pocket neo duos sams bco kit corp números transparente,2
contratos ocorrendo dentro anexo stc segue informa contato erro cliente,2
ferrer solicitarmos orientações dw tarifa posteriormente josé mello suspenso recebemos,2
linhas med passaram fizeram respectivamente imagem card faturar resgate apn,1
permanecem intervenção sinn encerrado efetuar aberto click gentileza prezados print,2
duplicado eqn fechamento critica,2
zamagno nvwma didres vanusa aponta blindado concluir convergentes patricia venda,2
co tramitou gerado clarify contrato porem sac terminal,2
total remover adicional ponto retenção força oi b tv móvel,2
pbi identificar erros origem casos tlmpackageoriginalid tratamento is necessitam null,2
fechadas abertas encontram entrou informando evidencias verificação contato solicita segue,2
cbat facilidade cat armário cabo reservada utilizado instalada at precisa,1
témino componente ativo forma tarifado indevida msisdn franquia pacote tt,2
laiza xegka alfa ot_pai_fid_scom_int_mix_p_gb_b intermediário bruna cancelada telecom sap completa,2
desabilitando scudino marisa baptista permitido almeida houve tentativa oferta oct,2
mondelez avgup clarify brasil cta status tramitou sfa enviada trata,2
sge qualificar sac-gfr designar metálico gna liberada par travado ba,1
telcliente wlyuxfy cha diego expert pdv tc andrade dependente velox,1
mjv m-areá major municipio localizado vieira j informação terminal/contrato tratar,2
arbor instancias batimento x imposto sao sul marco detectados qr,2
orderid=fdw php/ctm_tlmoi_pri_/fdw arbre_cat_rel_orgfed_bkl group=pfx_backlog_orgao_federal application=arb_faturamento nodeid=kenpx alerta controlm=ctm_tlmoi_pri gaap sysout,2
licinio renata única vendedora agr tenta prosseguir vendedor aparece tr,1
jcontabil adelita elenice atuais visualizando número clt nome hotmail nome/login,1
facilidade falha cadastro tela apresenta print realizar tentar stc segue,1
varnderson goreth verifiar regis nome/cpf tel/retorno am passa poderá lojista,2
om expediter aparece velox rjo tarde boa localidade circuito descrição,1
aprov aguard desde agradeço g tn bp caros portabilidade corrigir,1
wkr faze total oi desmembramento preso novamente fixo apagar gerou,2
puerta jeanne thereza roberta figueiredo pdv rocha acessado menu completo,1
rms retira tentando encerramento falha entrou apresentando informando posto parada,2
uvhhjv oi mudinho configurar visto total família entrar devido tv,2
virtude tt aberto,2
wjk bundle evidenciado retornou liberação tv prosseguir solicito oi cancelada,1
agrupador sisraf retirada contato solicita segue anexo cliente,1
cpe prazo digital grata parada cto prezados print cancelamento segue,2
operadora daniela autenticação tiago recusada autenticar doadora vivo manualmente seguir,2
sfa processamento sim_ebilling_incompletosh_sfa fixa/velox procsim oidigital atendimento entrega portal indicador,1
comandos comando reparos desativada aa linha ativa contas gerando entrou,1
atv endedor wns enconrado y/n abrindo simular vende deixando oi,1
mbps aumento consultando velocidade provisionamento go clarify informações oms print,1
fns sc atualizar parada t status s,2
external_id_equip_map customer_id_equip_map inconsistencia analisar favor,2
resetar senha bloqueio consegue cliente,2
c_bif bp_aplic/prod/bin/cfg/ctrl/c_bif_pfx_bif_proforma arbpc_c_bif_inst err prodtrap noc apresentaram instancias di programa,2
atendente alterado ic ä afetado arbor improcedente apos cancelado aplica/nao,1
yfrmlr matheus obrigado total ativar permanece tv oi fixo titular,2
plabil proabil troncos a bilhetagem retirar linhas modificar tronco impossibilita,2
nivea sena login apresentado gde ferramenta desbloqueio evidência santos usuário,1
drague vassoler pan luzia usar gustavo sergio aparecida hotmail mãe,1
tela desassociada ars_xx causando fd encontra ativado acn erros divergência,1
liglig deusdedit resíduo ligmix duarte acn retirado go instalado digital,2
recentes visualizar contas portal consegue oi cliente,2
rubia desde ana rodrigues zc oliveira mudança terminal/contrato referente vencida,1
facilidade cadastrar tentar stc informa contato erro cliente,2
utiliza citrix ambiente via atualização movel solicita siebel contato cliente,1
automática limite móveis fixa linha ativad inclui-las recarga pertencendo implica,2
tn portar avido p/fale exclusivo novaes catonx eh pl cia,1
orderid=bkoo php/ctm_tlmoi_pri_/bkoo group=pfx_rel_ajuste arbpd_cat_proc_ext_c application=arb_relatorios nodeid=kenpx alerta controlm=ctm_tlmoi_pri gaap sysout,1
instalar/testar permaneceram encerradas s kit unidade paradas abertas sistemas encontram,2
aesc atrelado ativo aa j retirar z segue retirada solicito,1
desconto anexada mensal concedido ficha reais crédito meses rs x,2
tn janela físico portado horas aguardando tela prezados mais status,2
ambiente op_clymigra_n_acc lasc gcr orientados iai fomos negocios desmigração clarify,2
codata paraiba acessos começou valor citados sofreram card faturar r,2
impossibilidade cd rb opção posto fechamento evidências segue informa contato,2
lkms almira várias tentativas renata habilitado venda monteiro pdv loja,2
ldn serviço inativo solicitou cobrado comando verificação ativo cliente,2
crmshl_cleanup_asset_reg php/ctm_tlmoi_pri_/qvc orderid=qvc group=pcrm_performa application=siebel nodeid=crm-job controlm=ctm_tlmoi_pri gaap sysout http,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,2
desmigrar j precisamos clarify internet gerar prezados abaixo ddd favor,1
rro prog cgocs cga tecle ocs enter encerrada programa terminais,2
ba´s abertos fechados casos informações click sac informa contato anexo,2
efetivo questão visto alterado solicitado casos bom dias abertura solicito,2
josibias salustre cl avise atualmente oi ocorrido conta configurador familia,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,1
